Generator Error: 7.7902984619140625,0
Generator Error: 6.6781721115112305,1
Generator Error: 6.32498025894165,2
Generator Error: 5.229217529296875,3
Generator Error: 5.887114524841309,4
Generator Error: 5.678581237792969,5
Generator Error: 5.342983722686768,6
Generator Error: 6.1262688636779785,7
Generator Error: 5.295548439025879,8
Generator Error: 4.802484512329102,9
Generator Error: 4.588176250457764,10
Generator Error: 5.143089294433594,11
Generator Error: 4.854089736938477,12
Generator Error: 6.564449787139893,13
Generator Error: 5.42708683013916,14
Generator Error: 5.024066925048828,15
Generator Error: 5.2732014656066895,16
Generator Error: 4.923304080963135,17
Generator Error: 5.2755937576293945,18
Generator Error: 5.058504581451416,19
Generator Error: 4.418548583984375,20
Generator Error: 4.497934341430664,21
Generator Error: 4.804773330688477,22
Generator Error: 5.019744873046875,23
Generator Error: 4.50391960144043,24
Generator Error: 4.982683181762695,25
Generator Error: 5.145015239715576,26
Generator Error: 4.489707946777344,27
Generator Error: 4.270291805267334,28
Generator Error: 4.800387382507324,29
Error Generator,4.75856812,29
Error Generator,4.7648733,30
Error Generator,4.729668376,31
Error Generator,4.73374537,32
Error Generator,4.734122453,33
Error Generator,4.666110721,34
Error Generator,4.692931714,35
Error Generator,4.581176136,36
Error Generator,4.638642831,37
Error Generator,4.629672849,38
Error Generator, 4.564476037025452, 38
Error Generator, 4.626485879421234, 38
Error Generator, 4.639736778736115, 38
Error Generator, 4.591500034332276, 38
Error Generator, 4.589186253547669, 39
Error Generator, 4.556376686096192, 40
Error Generator, 4.575945401191712, 41
Error Generator, 4.565566704273224, 42
Error Generator, 4.5184614062309265, 43
Error Generator, 4.603798460960388, 44
Error Generator, 4.512434689998627, 45
Error Generator, 4.528762907981872, 46
Error Generator, 4.538611664772033, 47
Error Generator, 4.463040037155151, 48
Error Generator, 4.498988618850708, 49
Error Generator, 4.443293159008026, 50
Error Generator, 4.530056664943695, 51
Error Generator, 4.418314981460571, 52
Error Generator, 4.483178200721741, 53
Error Generator, 4.453876411914825, 54
Error Generator, 4.394819431304931, 55
Error Generator, 4.421968641281128, 56
Error Generator, 4.441713325977325, 57
Error Generator, 4.420282967090607, 58
Error Generator, 4.414733595848084, 59
Error Generator, 4.479009976387024, 60
Error Generator, 4.415803499221802, 61
Error Generator, 4.440640909671783, 62
Error Generator, 4.411591300964355, 63
Error Generator, 4.386436216831207, 64
Error Generator, 4.3586887574195865, 65
Error Generator, 4.34977142572403, 66
Error Generator, 4.373133327960968, 67
Error Generator, 4.336687729358673, 68
Error Generator, 4.392210564613342, 69
Error Generator, 4.3673978257179265, 70
Error Generator, 4.426320462226868, 71
Error Generator, 4.382109489440918, 72
Error Generator, 4.387691242694855, 73
Error Generator, 4.308872859477997, 74
Error Generator, 4.401635444164276, 75
Error Generator, 4.343440084457398, 76
Error Generator, 4.2504456448555, 77
Error Generator, 4.307302782535553, 78
Error Generator, 4.328147375583649, 79
Error Generator, 4.305968971252441, 80
Error Generator, 4.3489302015304565, 81
Error Generator, 4.242543365955353, 82
Error Generator, 4.225320007801056, 83
Error Generator, 4.28489177942276, 84
Error Generator, 4.226416282653808, 85
Error Generator, 4.297431201934814, 86
Error Generator, 4.356619188785553, 93
Generator Error, 6.515354156494141, 94
Generator Error, 4.424148082733154, 95
Generator Error, 4.371921539306641, 96
Generator Error, 4.362198829650879, 97
Generator Error, 4.305728912353516, 98
Error Generator, 4.372803375720978, 98
Error Generator, 4.221432356834412, 98
Error Generator, 4.092687403202057, 99
Error Generator, 3.996724603176117, 100
Error Generator, 4.04280904340744, 101
Error Generator, 4.297807505130768, 102
Error Generator, 4.397433511257171, 103
Error Generator, 4.332241922855377, 104
Error Generator, 4.17616108751297, 105
Error Generator, 4.183667543888092, 106
Error Generator, 3.9789269485473633, 107
Error Generator, 4.035369005680084, 108
Error Generator, 4.104319317817688, 109
Error Generator, 3.9607914328575133, 110
Error Generator, 4.010454784870148, 111
Error Generator, 3.9610043239593504, 112
Error Generator, 4.016296763658524, 113
Error Generator, 3.846178499698639, 114
Error Generator, 3.760089783668518, 115
Error Generator, 3.982579711198807, 116
Error Generator, 3.924062526702881, 117
Error Generator, 3.9607530426979065, 118
Error Generator, 3.979464977264404, 119
Error Generator, 3.982960084438324, 120
Error Generator, 3.9396560134887695, 121
Error Generator, 3.9377533869743346, 122
Error Generator, 3.9446627192497252, 123
Error Generator, 3.954077601671219, 124
Error Generator, 3.90262832403183, 125
Error Generator, 3.925866446018219, 126
Error Generator, 3.9530842847824097, 127
Error Generator, 3.8968314990997315, 128
Error Generator, 3.9482609643936155, 129
Error Generator, 3.930900604248047, 130
Error Generator, 3.9139766011238097, 131
Error Generator, 3.976254629611969, 132
Error Generator, 3.825831793308258, 133
Error Generator, 3.910422737121582, 134
Error Generator, 3.9010394468307497, 135
Error Generator, 3.9258522057533263, 136
Error Generator, 3.8902106137275694, 137
Error Generator, 3.8779385080337523, 138
Error Generator, 3.78022333574295, 139
Error Generator, 3.8419411101341248, 140
Error Generator, 3.857449070930481, 141
Error Generator, 3.8890256934165954, 142
Error Generator, 3.867897458553314, 143
Error Generator, 3.9209054646492003, 144
Error Generator, 3.8140987854003905, 145
Error Generator, 3.8064744000434874, 146
Error Generator, 3.808342372894287, 147
Error Generator, 3.862267566680908, 148
Error Generator, 3.7563726823329926, 149
Error Generator, 3.831234402656555, 150
Error Generator, 3.8415202770233154, 151
Error Generator, 3.820429416656494, 152
Error Generator, 3.844398819446564, 153
Error Generator, 3.766530333518982, 154
Error Generator, 3.769074239730835, 155
Error Generator, 3.74896461391449, 156
Error Generator, 3.7125736746788025, 157
Error Generator, 3.8101764018535613, 158
Error Generator, 3.762370162010193, 159
Error Generator, 3.802292211532593, 160
Error Generator, 3.756494399547577, 161
Error Generator, 3.6965903496742247, 162
Error Generator, 3.717139327049255, 163
Error Generator, 3.7336824116706846, 164
Error Generator, 3.6835573205947876, 165
Error Generator, 3.7967326927185057, 166
Error Generator, 3.741545954942703, 167
Error Generator, 3.835680392742157, 168
Error Generator, 3.784878911972046, 169
Error Generator, 3.703832695484161, 170
Error Generator, 3.7151164593696593, 171
Error Generator, 3.7189642062187196, 172
Error Generator, 3.731583013534546, 173
Error Generator, 3.7219304208755495, 174
Error Generator, 3.713310515165329, 175
Error Generator, 3.7060929279327395, 176
Error Generator, 3.7623107113838197, 177
Error Generator, 3.6732084302902224, 177
Error Generator, 3.5551283540725707, 178
Error Generator, 3.5152613353729247, 179
Error Generator, 3.5523345251083374, 180
Error Generator, 3.5668087272644042, 181
Error Generator, 3.556730978012085, 182
Error Generator, 3.59687623500824, 183
Error Generator, 3.6309878196716308, 184
Error Generator, 3.5980773286819456, 185
Error Generator, 3.5938553791046144, 186
Error Generator, 3.598434495925903, 187
Error Generator, 3.5644881963729858, 188
Error Generator, 3.5824145765304567, 189
Error Generator, 3.6322869472503663, 190
Error Generator, 3.615511053085327, 191
Error Generator, 3.523235939025879, 192
Error Generator, 3.5957035923004153, 193
Error Generator, 3.6271491956710817, 194
Error Generator, 3.6261997804641726, 195
Error Generator, 3.6288463792800902, 196
Error Generator, 3.6129049377441405, 197
Error Generator, 3.5725279464721678, 198
Error Generator, 3.5976563720703125, 199
Error Generator, 3.6071235580444334, 200
Error Generator, 3.5389558086395265, 201
Error Generator, 3.6216317939758302, 202
Error Generator, 3.636259987831116, 203
Error Generator, 3.60649001789093, 204
Error Generator, 3.546215232849121, 205
Error Generator, 3.607755707740784, 206
Error Generator, 3.511384430885315, 207
Error Generator, 3.590610719680786, 208
Generator Error, 3.269397497177124, 209
Generator Error, 4.5219244956970215, 210
Generator Error, 3.559736490249634, 211
Generator Error, 4.228710651397705, 212
Generator Error, 3.39241623878479, 213
Generator Error, 3.5479676723480225, 214
Generator Error, 3.907785654067993, 215
Generator Error, 3.446960926055908, 216
Error Generator, 3.606459003686905, 217
Error Generator, 3.671109381914139, 218
Error Generator, 3.5841815876960754, 219
Error Generator, 3.5483708918094634, 220
Error Generator, 3.645745064020157, 221
Error Generator, 3.6121209442615507, 222
Error Generator, 3.6752827763557434, 223
